csv,case_file,n_vehicles,case_portable_dwell_pass,case_portable_strict_like_pass,interface_modes,columns_used_all,forbidden_guidance_internal_terms_in_used_columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c000_hp173p144_vm1p127_combined.csv,b5c000_hp173p144_vm1p127_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c001_hp407p878_vp3p750_combined.csv,b5c001_hp407p878_vp3p750_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c002_hp150p213_vm1p197_combined.csv,b5c002_hp150p213_vm1p197_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c003_hp281p755_vp6p735_combined.csv,b5c003_hp281p755_vp6p735_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c004_hp106p199_vp8p290_combined.csv,b5c004_hp106p199_vp8p290_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c005_hp157p702_vp5p565_combined.csv,b5c005_hp157p702_vp5p565_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c006_hp262p371_vm3p022_combined.csv,b5c006_hp262p371_vm3p022_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c007_hp278p652_vm0p283_combined.csv,b5c007_hp278p652_vm0p283_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c008_hp76p236_vm1p050_combined.csv,b5c008_hp76p236_vm1p050_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c009_hp463p922_vp3p164_combined.csv,b5c009_hp463p922_vp3p164_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c010_hp59p976_vp4p029_combined.csv,b5c010_hp59p976_vp4p029_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c011_hp349p694_vm0p101_combined.csv,b5c011_hp349p694_vm0p101_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c012_hp14p700_vp1p086_combined.csv,b5c012_hp14p700_vp1p086_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c013_hp141p172_vp0p854_combined.csv,b5c013_hp141p172_vp0p854_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c014_hp190p148_vm1p949_combined.csv,b5c014_hp190p148_vm1p949_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c015_hp468p756_vp8p881_combined.csv,b5c015_hp468p756_vp8p881_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c016_hp86p233_vm5p063_combined.csv,b5c016_hp86p233_vm5p063_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c017_hp492p240_vp1p120_combined.csv,b5c017_hp492p240_vp1p120_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c018_hp343p939_vp1p764_combined.csv,b5c018_hp343p939_vp1p764_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c019_hp61p117_vp1p056_combined.csv,b5c019_hp61p117_vp1p056_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c020_hp21p581_vm9p979_combined.csv,b5c020_hp21p581_vm9p979_combined.csv,3,False,False,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c021_hp9p864_vp0p067_combined.csv,b5c021_hp9p864_vp0p067_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c022_hp44p606_vm9p298_combined.csv,b5c022_hp44p606_vm9p298_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c023_hp48p334_vp0p483_combined.csv,b5c023_hp48p334_vp0p483_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c024_hp316p252_vm5p690_combined.csv,b5c024_hp316p252_vm5p690_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c025_hp457p541_vm6p362_combined.csv,b5c025_hp457p541_vm6p362_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c026_hp216p564_vp2p798_combined.csv,b5c026_hp216p564_vp2p798_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c027_hp312p051_vm5p900_combined.csv,b5c027_hp312p051_vm5p900_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c028_hp98p422_vm4p869_combined.csv,b5c028_hp98p422_vm4p869_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c029_hp283p266_vp6p772_combined.csv,b5c029_hp283p266_vp6p772_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c030_hp86p638_vm0p242_combined.csv,b5c030_hp86p638_vm0p242_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c031_hp110p319_vp5p597_combined.csv,b5c031_hp110p319_vp5p597_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
