csv,case_file,vehicle_id,n_rows_vehicle,time_col,id_col,interface_mode,columns_used,forbidden_guidance_internal_terms_in_used_columns,portable_dwell_reached,portable_strict_like_pass,terminal_reason_available,terminal_reason_ok,close_pass_escape_present,first_confirm_index,max_consecutive_inbox_samples,total_inbox_samples
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c000_hp173p144_vm1p127_combined.csv,b5c000_hp173p144_vm1p127_combined.csv,0,5864,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5858,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c000_hp173p144_vm1p127_combined.csv,b5c000_hp173p144_vm1p127_combined.csv,1,5828,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5822,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c000_hp173p144_vm1p127_combined.csv,b5c000_hp173p144_vm1p127_combined.csv,2,5815,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5809,4,4
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c001_hp407p878_vp3p750_combined.csv,b5c001_hp407p878_vp3p750_combined.csv,0,5855,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5849,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c001_hp407p878_vp3p750_combined.csv,b5c001_hp407p878_vp3p750_combined.csv,1,5840,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5833,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c001_hp407p878_vp3p750_combined.csv,b5c001_hp407p878_vp3p750_combined.csv,2,5813,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5806,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c002_hp150p213_vm1p197_combined.csv,b5c002_hp150p213_vm1p197_combined.csv,0,5857,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5851,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c002_hp150p213_vm1p197_combined.csv,b5c002_hp150p213_vm1p197_combined.csv,1,5833,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5827,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c002_hp150p213_vm1p197_combined.csv,b5c002_hp150p213_vm1p197_combined.csv,2,5810,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5804,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c003_hp281p755_vp6p735_combined.csv,b5c003_hp281p755_vp6p735_combined.csv,0,5863,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5856,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c003_hp281p755_vp6p735_combined.csv,b5c003_hp281p755_vp6p735_combined.csv,1,5829,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5822,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c003_hp281p755_vp6p735_combined.csv,b5c003_hp281p755_vp6p735_combined.csv,2,5805,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5798,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c004_hp106p199_vp8p290_combined.csv,b5c004_hp106p199_vp8p290_combined.csv,0,5858,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5852,4,4
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c004_hp106p199_vp8p290_combined.csv,b5c004_hp106p199_vp8p290_combined.csv,1,5831,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5824,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c004_hp106p199_vp8p290_combined.csv,b5c004_hp106p199_vp8p290_combined.csv,2,5808,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5801,4,4
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c005_hp157p702_vp5p565_combined.csv,b5c005_hp157p702_vp5p565_combined.csv,0,5844,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5838,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c005_hp157p702_vp5p565_combined.csv,b5c005_hp157p702_vp5p565_combined.csv,1,5829,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5822,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c005_hp157p702_vp5p565_combined.csv,b5c005_hp157p702_vp5p565_combined.csv,2,5813,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5807,4,4
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c006_hp262p371_vm3p022_combined.csv,b5c006_hp262p371_vm3p022_combined.csv,0,5846,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5839,6,6
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c006_hp262p371_vm3p022_combined.csv,b5c006_hp262p371_vm3p022_combined.csv,1,5827,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5820,6,6
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c006_hp262p371_vm3p022_combined.csv,b5c006_hp262p371_vm3p022_combined.csv,2,5817,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5810,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c007_hp278p652_vm0p283_combined.csv,b5c007_hp278p652_vm0p283_combined.csv,0,5849,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5842,6,6
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c007_hp278p652_vm0p283_combined.csv,b5c007_hp278p652_vm0p283_combined.csv,1,5827,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5821,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c007_hp278p652_vm0p283_combined.csv,b5c007_hp278p652_vm0p283_combined.csv,2,5819,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5812,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c008_hp76p236_vm1p050_combined.csv,b5c008_hp76p236_vm1p050_combined.csv,0,5862,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5856,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c008_hp76p236_vm1p050_combined.csv,b5c008_hp76p236_vm1p050_combined.csv,1,5833,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5827,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c008_hp76p236_vm1p050_combined.csv,b5c008_hp76p236_vm1p050_combined.csv,2,5804,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5798,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c009_hp463p922_vp3p164_combined.csv,b5c009_hp463p922_vp3p164_combined.csv,0,5869,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5863,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c009_hp463p922_vp3p164_combined.csv,b5c009_hp463p922_vp3p164_combined.csv,1,5832,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5825,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c009_hp463p922_vp3p164_combined.csv,b5c009_hp463p922_vp3p164_combined.csv,2,5819,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5812,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c010_hp59p976_vp4p029_combined.csv,b5c010_hp59p976_vp4p029_combined.csv,0,5852,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5846,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c010_hp59p976_vp4p029_combined.csv,b5c010_hp59p976_vp4p029_combined.csv,1,5843,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5836,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c010_hp59p976_vp4p029_combined.csv,b5c010_hp59p976_vp4p029_combined.csv,2,5812,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5805,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c011_hp349p694_vm0p101_combined.csv,b5c011_hp349p694_vm0p101_combined.csv,0,5847,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5841,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c011_hp349p694_vm0p101_combined.csv,b5c011_hp349p694_vm0p101_combined.csv,1,5842,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5836,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c011_hp349p694_vm0p101_combined.csv,b5c011_hp349p694_vm0p101_combined.csv,2,5810,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5804,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c012_hp14p700_vp1p086_combined.csv,b5c012_hp14p700_vp1p086_combined.csv,0,5865,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5859,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c012_hp14p700_vp1p086_combined.csv,b5c012_hp14p700_vp1p086_combined.csv,1,5829,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5823,5,5
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c012_hp14p700_vp1p086_combined.csv,b5c012_hp14p700_vp1p086_combined.csv,2,5815,global_t,mis_id,terminal_error_columns,global_t;mis_id;taem_h_err;taem_v_err;taem_s_go_err,,True,True,True,True,False,5808,5,5
