stage,case_id,n_vehicle_logs,case_strict_success,case_replayed_dwell_all,case_any_close_pass,inside_u3,delta_h0_m,delta_v0_mps
B1,PHASE2_B1E_PASS_FREEZE,1,True,True,False,,,
B1,data_saved,1,True,True,False,,,
B1,phase2_B1E_exact_single_report,1,False,False,False,,,
B2,b2_integrity_first_last,3,False,False,False,,,
B2,phase2_B1_by_vehicle,3,False,False,False,,,
B2,phase2_B2R_by_vehicle,3,False,False,False,,,
B2,phase2_B2R_role_distinct_combined,3,True,True,False,,,
B2,phase2_B2R_role_distinct_runs,3,True,True,False,,,
B2,phase2_B2_by_vehicle,3,False,False,False,,,
B2,phase2_B2_exact_single_combined,3,True,True,False,,,
B2,phase2_B2_exact_single_runs,3,True,True,False,,,
B3,PHASE2_B3C_TOLERANCE_PARTIAL_PASS_FREEZE,1,False,False,False,,,
B3,dwell_3,3,True,True,False,,,
B3,dwell_4,3,True,True,False,,,
B3,dwell_5,3,True,True,False,,,
B3,phase2_B1_by_vehicle,3,False,False,False,,,
B3,phase2_B3A_by_vehicle_all,3,False,False,False,,,
B3,phase2_B3A_heading_spread_combined_all,3,True,True,False,,,
B3,phase2_B3A_spread_1deg_by_vehicle,3,False,False,False,,,
B3,phase2_B3A_spread_1deg_combined,3,True,True,False,,,
B3,phase2_B3A_spread_2deg_by_vehicle,3,False,False,False,,,
B3,phase2_B3A_spread_2deg_combined,3,True,True,False,,,
B3,phase2_B3A_spread_3deg_by_vehicle,3,False,False,False,,,
B3,phase2_B3A_spread_3deg_combined,3,True,True,False,,,
B3,phase2_B3A_spread_4deg_by_vehicle,3,False,False,False,,,
B3,phase2_B3A_spread_4deg_combined,3,True,True,False,,,
B3,phase2_B3B_dwell_3_by_vehicle,3,False,False,False,,,
B3,phase2_B3B_dwell_3_combined,3,True,True,False,,,
B3,phase2_B3B_dwell_4_by_vehicle,3,False,False,False,,,
B3,phase2_B3B_dwell_4_combined,3,True,True,False,,,
B3,phase2_B3B_dwell_5_by_vehicle,3,False,False,False,,,
B3,phase2_B3B_dwell_5_combined,3,True,True,False,,,
B3,phase2_B3B_post_dwell_by_vehicle,3,False,False,False,,,
B3,phase2_B3B_run_by_vehicle_all,3,False,False,False,,,
B3,phase2_B3B_run_dwell_combined_all,3,True,True,False,,,
B3,phase2_B3C_tolerance_by_vehicle,3,False,False,False,,,
B3,phase2_B3C_tolerance_report,1,False,False,False,,,
B3,spread_1deg,3,True,True,False,,,
B3,spread_2deg,3,True,True,False,,,
B3,spread_3deg,3,True,True,False,,,
B3,spread_4deg,3,True,True,False,,,
B5A,b5a_failure_rows,3,False,False,False,,,
B5A,b5ar_failed_rows,3,False,False,False,,,
B5A,b5c000_hp471p766_vm9p217,1,False,False,False,True,471.766,-9.217
B5A,b5c001_hp392p403_vm2p262,1,False,False,False,True,392.403,-2.262
B5A,b5c002_hp147p164_vp7p682,1,False,False,False,True,147.164,7.682
B5A,b5c003_hp434p666_vm9p076,1,False,False,False,True,434.666,-9.076
B5A,b5c004_hp486p588_vm13p264,1,False,False,False,False,486.588,-13.264
B5A,b5c005_hp402p748_vp0p427,1,False,False,False,True,402.748,0.427
B5A,b5c006_hp235p530_vm19p076,1,False,False,False,False,235.53,-19.076
B5A,b5c007_hp447p399_vm2p791,1,False,False,False,True,447.399,-2.791
B5A,b5c008_hp195p154_vm9p360,1,False,False,False,True,195.154,-9.36
B5A,b5c009_hp325p987_vm9p589,1,False,False,False,True,325.987,-9.589
B5A,b5c010_hp253p790_vm8p872,1,False,False,False,True,253.79,-8.872
B5A,b5c011_hp27p601_vm12p488,1,False,False,False,False,27.601,-12.488
B5A,b5c012_hp420p482_vp4p545,1,False,False,False,True,420.482,4.545
