source_csv,stage,case_id,vehicle_id,delta_h0_m,delta_v0_mps,inside_u3,combined_source,source_n_rows_total,schema_ok,replayed_dwell,terminal_reason_ok,terminal_reason_available,success_flag_any,success_flag_available,close_pass_any,strict_success,n_rows,first_confirm_index,min_abs_h_error,min_abs_v_error,min_abs_s_error,notes
store\data_saved\phase2_B5E_mis0_corner_robustness_refinement\phase2_B5E_by_run_partial.csv,B5E,phase2_B5E_mis0_corner_robustness_refinement,0,,,,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c049_hp64p217_vp6p242\phase2_B5A_by_case.csv,B5D,b5c049_hp64p217_vp6p242,0,64.217,6.242,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c048_hp380p801_vm0p950\phase2_B5A_by_case.csv,B5D,b5c048_hp380p801_vm0p950,0,380.801,-0.95,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c047_hp52p723_vp6p654\phase2_B5A_by_case.csv,B5D,b5c047_hp52p723_vp6p654,0,52.723,6.654,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c046_hp1p809_vm0p086\phase2_B5A_by_case.csv,B5D,b5c046_hp1p809_vm0p086,0,1.809,-0.086,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c045_hp67p020_vm0p134\phase2_B5A_by_case.csv,B5D,b5c045_hp67p020_vm0p134,0,67.02,-0.134,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c044_hp440p893_vm6p434\phase2_B5A_by_case.csv,B5D,b5c044_hp440p893_vm6p434,0,440.893,-6.434,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c043_hp452p043_vp0p481\phase2_B5A_by_case.csv,B5D,b5c043_hp452p043_vp0p481,0,452.043,0.481,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c042_hp365p116_vp0p190\phase2_B5A_by_case.csv,B5D,b5c042_hp365p116_vp0p190,0,365.116,0.19,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c041_hp343p214_vm7p616\phase2_B5A_by_case.csv,B5D,b5c041_hp343p214_vm7p616,0,343.214,-7.616,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c040_hp129p630_vm0p019\phase2_B5A_by_case.csv,B5D,b5c040_hp129p630_vm0p019,0,129.63,-0.019,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
